canal,url_canal,nome_video,url_video,data_visualizacao,part_of_day,year,month,day,day_name
( GHOST),https://www.youtube.com/channel/UC6SddeLDZhAAerIC3fpIi0w,Quem é o cr7?( GHOST)18 de jul. de 2021 10:50:53 BRT,https://www.youtube.com/watch?v=w1st2mSocnE,2021-07-18 10:50:53,Morning,2021,July,18,Sunday
Christian Wedoy,https://www.youtube.com/channel/UCKA00zb2VKPHIR4iRpYWQfQ,How to not rescue a dummy #shortsChristian Wedoy18 de jul. de 2021 10:50:38 BRT,https://www.youtube.com/watch?v=xsNh2Eyep-w,2021-07-18 10:50:38,Morning,2021,July,18,Sunday
MotivaCast - CortesPodCast,https://www.youtube.com/channel/UCVnxDY-rx-oRU_VjrBm_nAg,NATHALIA ARCURIMotivaCast - CortesPodCast18 de jul. de 2021 10:50:10 BRT,https://www.youtube.com/watch?v=rwYskvrTrcQ,2021-07-18 10:50:10,Morning,2021,July,18,Sunday
Tiktonita,https://www.youtube.com/channel/UCPqNmrkaUe8Utwoy8kK3E0w,"Pessoas nascidas nos anos 70, 80, 90 e 2000Tiktonita18 de jul. de 2021 10:50:07 BRT",https://www.youtube.com/watch?v=h2SyV4TDQOU,2021-07-18 10:50:07,Morning,2021,July,18,Sunday
Tim Explica,https://www.youtube.com/channel/UCGxIAAnrhkCy6H2DRz-t6Qw,AMERICANOS ACHAM esse hábito Brasileiro estranho #shortsTim Explica18 de jul. de 2021 10:49:43 BRT,https://www.youtube.com/watch?v=AJFZB5RDXBY,2021-07-18 10:49:43,Morning,2021,July,18,Sunday
Laysla Soares,https://www.youtube.com/channel/UCNE3MW53t7zPtYtpvEuMw5Q,esperança é a última que morreLaysla Soares18 de jul. de 2021 10:49:25 BRT,https://www.youtube.com/watch?v=bBLuj8COtmI,2021-07-18 10:49:25,Morning,2021,July,18,Sunday
TikTok Queens,https://www.youtube.com/channel/UCiVRLGmVEwiyvDtYtQWpXlQ,Barack Obama Tossing Away A Gift TikTok: jeanjohn_01TikTok Queens18 de jul. de 2021 10:49:18 BRT,https://www.youtube.com/watch?v=fHclzywUFeU,2021-07-18 10:49:18,Morning,2021,July,18,Sunday
Caio Bergantine,https://www.youtube.com/channel/UCaPCgcVnKm_uWuNCKhsRa-w,REACT - CORTOU O CHINELO? 😱Caio Bergantine18 de jul. de 2021 10:49:17 BRT,https://www.youtube.com/watch?v=JK9HgbjR_zs,2021-07-18 10:49:17,Morning,2021,July,18,Sunday
Sau Sampaio,https://www.youtube.com/channel/UC52Ql_o7tYJfSobudv_BqYA,"SANDUÍCHE SEM PÃO - Sem glúten, com batata sanfonada -  Receita Tik TokSau Sampaio18 de jul. de 2021 10:49:10 BRT",https://www.youtube.com/watch?v=tyDySkXaMvI,2021-07-18 10:49:10,Morning,2021,July,18,Sunday
Fernando Floripa Motorista Uber,https://www.youtube.com/channel/UCAwc4QgjwBmUFFtxJPnOefw,Cancelou NO MEIO DA CORRIDA e Motorista Uber é obrigado a 😱 #ShortsFernando Floripa Motorista Uber18 de jul. de 2021 10:48:58 BRT,https://www.youtube.com/watch?v=gEEkeTKtnkM,2021-07-18 10:48:58,Morning,2021,July,18,Sunday
Shorts e Cortes Podcast,https://www.youtube.com/channel/UCrjezgRHnvlMmfK8_gEF1nA,PRENDE EU!Shorts e Cortes Podcast18 de jul. de 2021 10:48:47 BRT,https://www.youtube.com/watch?v=JW7olSXVFro,2021-07-18 10:48:47,Morning,2021,July,18,Sunday
Mundo Polarizado | Olimpio Araujo Junior,https://www.youtube.com/channel/UC5Bw0GoCfHk9tA_30ltCw9Q,Bolsonaro fala sobre os protestos em CubaMundo Polarizado | Olimpio Araujo Junior18 de jul. de 2021 10:47:58 BRT,https://www.youtube.com/watch?v=r8QlSraDfGA,2021-07-18 10:47:58,Morning,2021,July,18,Sunday
Cenrecomo,https://www.youtube.com/channel/UCwLgHAHU0jck9yXaJT7B3IA,"Cuba: em meio aos maiores protestos populares em 30 anos, governo prende jornalistasCenrecomo18 de jul. de 2021 10:43:38 BRT",https://www.youtube.com/watch?v=0OgwClK-db4,2021-07-18 10:43:38,Morning,2021,July,18,Sunday
Record News,https://www.youtube.com/channel/UCuiLR4p6wQ3xLEm15pEn1Xw,Governo cubano corta a internet e prende manifestantesRecord News18 de jul. de 2021 10:42:53 BRT,https://www.youtube.com/watch?v=YYeZ0AmV66Y,2021-07-18 10:42:53,Morning,2021,July,18,Sunday
Pânico Jovem Pan,https://www.youtube.com/channel/UC9U4nIDyIzzelXrjNQXNvxA,Rodrigo Constantino: ‘CUBANOS ESTÃO INDO ÀS RUAS COM AS MÃOS CONTRA UM GOVERNO OPRESSOR ARMADO'Pânico Jovem Pan18 de jul. de 2021 10:41:49 BRT,https://www.youtube.com/watch?v=CWBcFfKrlcA,2021-07-18 10:41:49,Morning,2021,July,18,Sunday
PodeParts Podcast,https://www.youtube.com/channel/UC2GDjUvvWWwnZlUTUaauTyw,CUBA PR3ND3  y0tuber durante transmissão AO VIVOPodeParts Podcast18 de jul. de 2021 10:41:22 BRT,https://www.youtube.com/watch?v=eWXeS_RROQs,2021-07-18 10:41:22,Morning,2021,July,18,Sunday
Jovem Pan - 3 em 1,https://www.youtube.com/channel/UCEsbaUdrM_87K-2um30hf8Q,Espanha pede liberação de jornalista presa por cobertura em CubaJovem Pan - 3 em 118 de jul. de 2021 10:37:36 BRT,https://www.youtube.com/watch?v=hATnPWyYkNY,2021-07-18 10:37:36,Morning,2021,July,18,Sunday
El Mundo,https://www.youtube.com/channel/UCGXbLrVe8vnkiFv7q2vYv3w,Sastrería Cornejo: de las pelis de romanos a 'Juego de Tronos'El Mundo18 de jul. de 2021 10:37:20 BRT,https://www.youtube.com/watch?v=vz9uzl09VcY,2021-07-18 10:37:20,Morning,2021,July,18,Sunday
El Mundo,https://www.youtube.com/channel/UCGXbLrVe8vnkiFv7q2vYv3w,Detienen en directo a la youtuber cubana Dina Stars mientras la entrevistan en 'Todo es Mentira'El Mundo18 de jul. de 2021 10:35:40 BRT,https://www.youtube.com/watch?v=dcB0JzS3HEg,2021-07-18 10:35:40,Morning,2021,July,18,Sunday
REMONTADA ,https://www.youtube.com/channel/UCh7pO4BhWL0XJxb3LdSOtkA,the race for the european golden 2021 shoe levandowiski messi ronaldo andre silva mbappeREMONTADA 16 de jul. de 2021 22:32:04 BRT,https://www.youtube.com/watch?v=ici3nXaGXn8,2021-07-16 22:32:04,Night,2021,July,16,Friday
Sau Sampaio,https://www.youtube.com/channel/UC52Ql_o7tYJfSobudv_BqYA,CARANGUEJO RECEITA RÁPIDA E FÁCIL - Como fazer caranguejoSau Sampaio16 de jul. de 2021 22:31:23 BRT,https://www.youtube.com/watch?v=cSl7Zl_WlgA,2021-07-16 22:31:23,Night,2021,July,16,Friday
Diaz Borneo,https://www.youtube.com/channel/UCDx-JY8wR35B2liENdCerBQ,A scary Voice of kingcobraDiaz Borneo16 de jul. de 2021 22:31:05 BRT,https://www.youtube.com/watch?v=Q4U7j1TeHwM,2021-07-16 22:31:05,Night,2021,July,16,Friday
Seloko Cortes,https://www.youtube.com/channel/UCqNDGFvOaJiSy68FsEm3cqQ,A VERDADE SOBRE CRISTIANO RONALDO ( LUÍS NANI )Seloko Cortes16 de jul. de 2021 18:55:34 BRT,https://www.youtube.com/watch?v=GY4Fd5JWzJY,2021-07-16 18:55:34,Evening,2021,July,16,Friday
Cartoloucos,https://www.youtube.com/channel/UCfBw30ryGwSC-6YyTPseHPw,INVADI O VESTIÁRIO DA ARGENTINA NA FINAL DA COPA AMÉRICA!Cartoloucos16 de jul. de 2021 18:41:20 BRT,https://www.youtube.com/watch?v=iHUtD1R4gRQ,2021-07-16 18:41:20,Evening,2021,July,16,Friday
Sharpax,https://www.youtube.com/channel/UCQR7hvIxWrtkCw5TZdufjlg,"Aula 04 - O que é CamelCase, e quando utilizar?Sharpax15 de jul. de 2021 23:56:40 BRT",https://www.youtube.com/watch?v=7Da-DUTqNiw,2021-07-15 23:56:40,Night,2021,July,15,Thursday
Rogerio Silva,https://www.youtube.com/channel/UC45rDpBnvjWN1atN4WIyLoA,Python Split - quebrando uma string(texto)Rogerio Silva15 de jul. de 2021 23:56:16 BRT,https://www.youtube.com/watch?v=Bwk6EIMR-cQ,2021-07-15 23:56:16,Night,2021,July,15,Thursday
Hackers Realm,https://www.youtube.com/channel/UCX7-Wi9ioslA9691INtFO5Q,79 - CamelCase | Hackerrank Solution | Problem Solving | PythonHackers Realm15 de jul. de 2021 23:51:57 BRT,https://www.youtube.com/watch?v=oZzx6WmFqBU,2021-07-15 23:51:57,Night,2021,July,15,Thursday
HewyPy,https://www.youtube.com/channel/UCSrjPmQDvi6kbE55jWAYvEg,Convert Strings to CamelCase | Python | CodewarsHewyPy15 de jul. de 2021 23:48:42 BRT,https://www.youtube.com/watch?v=l_2Gmi0jtqE,2021-07-15 23:48:42,Night,2021,July,15,Thursday
Código Logo,https://www.youtube.com/channel/UCwZFL945LUQcF9OpEWSfbeg,Python intermediário I Tutorial 9 - Como substituir uma StringCódigo Logo15 de jul. de 2021 23:46:37 BRT,https://www.youtube.com/watch?v=5dvjdfL63w0,2021-07-15 23:46:37,Night,2021,July,15,Thursday
Código Logo,https://www.youtube.com/channel/UCwZFL945LUQcF9OpEWSfbeg,Python intermediário I Tutorial 8 - Como dividir uma StringCódigo Logo15 de jul. de 2021 23:45:05 BRT,https://www.youtube.com/watch?v=a48fPRUaPlc,2021-07-15 23:45:05,Night,2021,July,15,Thursday
Adam Marczak - Azure for Everyone,https://www.youtube.com/channel/UCdmEIMC3LBil4o0tjaTbj0w,Azure Databricks Tutorial | Data transformations at scaleAdam Marczak - Azure for Everyone15 de jul. de 2021 00:58:20 BRT,https://www.youtube.com/watch?v=M7t1T1Q5MNc,2021-07-15 00:58:20,Late Night,2021,July,15,Thursday
AREA51,https://www.youtube.com/channel/UCoFSYAr0zSY4vLa1laQdxhQ,Children × Roses - David Guetta & Dj From Mars Mashup Live At Fun Radio Live Stream ExperienceAREA5114 de jul. de 2021 23:43:16 BRT,https://www.youtube.com/watch?v=Mb-9kWRIyMI,2021-07-14 23:43:16,Night,2021,July,14,Wednesday
claudinhobrasil,https://www.youtube.com/channel/UCS8-jrGEgard40Q8Y-dSGfA,Mamma Mia - Claudinho Brasil & Harmonika (Official Clip)claudinhobrasil13 de jul. de 2021 22:19:16 BRT,https://www.youtube.com/watch?v=UAHr5VcUI3Q,2021-07-13 22:19:16,Night,2021,July,13,Tuesday
Gustavo Rocha,https://www.youtube.com/channel/UCa_buKmtYL40ckHEk5WyXLw,Stanka - Playground Music Festival (Goiânia)Gustavo Rocha13 de jul. de 2021 22:16:10 BRT,https://www.youtube.com/watch?v=RRhsohiV30A,2021-07-13 22:16:10,Night,2021,July,13,Tuesday
Vegas Live,https://www.youtube.com/channel/UCJ0UMfZCN0o78Wzn1FfkjCQ,Vegas @ Universo Paralello Festival #15  2019/2020 FULL VIDEOVegas Live13 de jul. de 2021 22:09:52 BRT,https://www.youtube.com/watch?v=6bRGO7r0E-Y,2021-07-13 22:09:52,Night,2021,July,13,Tuesday
EPHIMERA Tulum,https://www.youtube.com/channel/UCctdP3FK8nFiYwGgWaejWRw,Savage and Shē | Tulum Vibrations Mix 2020 by @EPHIMERA TulumEPHIMERA Tulum13 de jul. de 2021 22:07:20 BRT,https://www.youtube.com/watch?v=a3ZIAXlN89g,2021-07-13 22:07:20,Night,2021,July,13,Tuesday
Mixmag,https://www.youtube.com/channel/UCQdCIrTpkhEH5Z8KPsn7NvQ,DAMIAN LAZARUS sunrise set at Day ZeroMixmag13 de jul. de 2021 22:03:18 BRT,https://www.youtube.com/watch?v=nF1UIC6chjw,2021-07-13 22:03:18,Night,2021,July,13,Tuesday
I TRAVEL FOREVER,https://www.youtube.com/channel/UCnH2AiIKNsKkHQgU_ZR_Qtg,THE BEST BEACH CLUB PARTY IN TULUM  |  Taboo TulumI TRAVEL FOREVER13 de jul. de 2021 22:02:51 BRT,https://www.youtube.com/watch?v=ZmjdsqagKoM,2021-07-13 22:02:51,Night,2021,July,13,Tuesday
Boiler Room,https://www.youtube.com/channel/UCGBpxWJr9FNOcFYA5GkKrMg,Nicola Cruz Boiler Room Tulum x Comunite Live SetBoiler Room13 de jul. de 2021 21:56:59 BRT,https://www.youtube.com/watch?v=BcJCNLgEsHs,2021-07-13 21:56:59,Night,2021,July,13,Tuesday
Boiler Room,https://www.youtube.com/channel/UCGBpxWJr9FNOcFYA5GkKrMg,Nicola Cruz | Boiler Room x Plisskën FestivalBoiler Room13 de jul. de 2021 21:55:38 BRT,https://www.youtube.com/watch?v=B10_PrrvC74,2021-07-13 21:55:38,Night,2021,July,13,Tuesday
Defected Records,https://www.youtube.com/channel/UCnOxaDXBiBXg9Nn9hKWu6aw,Vintage Culture - Defected House Music DJ Set (Live from Brazil)Defected Records13 de jul. de 2021 20:28:10 BRT,https://www.youtube.com/watch?v=Q5254vB0eG0,2021-07-13 20:28:10,Evening,2021,July,13,Tuesday
